,name,season,region,games,win rate,k:d,gold per min,gold diff per min,game duration,kill per game,deaths per game,towers killed,towers lost,first blood rate,first tower rate,dragons per game,dragons %,heralds per game,herald %,avg dragons 15min,tower diff 15min,gold diff 15min,nashor per game,nashor %,cs per min,dmg per min,wards per min,vision wards per min,wards cleared per min
114,Inaequalis,S10,CZ,14,21.4%,0.77,1710,-173,32:50,13.9,18.1,3.5,8.4,28.6,28.6,2.14,43.8,0.50,25.0,0.86,-0.6,-880,0.50,26.9,31.1,1820,3.3,1.12,1.26
115,Infinity eSports,S10,LAT,40,57.5%,1.19,1721,43,36:06,11.4,9.6,6.9,5.0,47.5,70.0,2.58,48.7,1.03,51.3,0.80,0.4,523,0.80,58.8,31.6,1789,3.3,1.28,1.55
116,Inside Games,S10,CZ,54,38.9%,0.73,1703,-123,31:56,11.7,16.0,4.9,7.0,48.1,48.1,1.93,39.0,0.72,38.9,0.69,-0.3,-840,0.59,35.8,31.1,1852,3.0,1.07,1.17
117,Intergalaxy Tigers Gaming,S10,BR,15,6.7%,0.50,1573,-358,31:29,10.5,20.9,3.0,9.2,46.7,40.0,1.33,27.8,0.47,23.3,0.93,-0.6,-2125,0.13,10.7,27.6,1600,3.2,1.42,1.27
118,Intreprid Fox Gaming,S10,EUW,24,45.8%,0.93,1799,4,31:35,15.7,17.0,6.0,6.5,50.0,45.8,2.17,45.2,1.04,52.1,0.96,-0.4,-74,0.79,53.6,31.0,1967,2.6,0.97,1.17
119,INTZ e-Sports,S10,BR,61,49.2%,1.04,1752,8,33:39,13.5,13.0,6.4,6.4,47.5,52.5,2.48,51.2,0.95,48.4,0.93,0.2,-42,0.70,56.6,30.8,1870,3.5,1.34,1.53
120,Invictus Aquilas,S10,RO,13,46.2%,1.07,1718,25,30:34,13.7,12.8,5.5,5.0,61.5,61.5,2.46,53.6,1.31,69.2,1.15,0.1,173,0.62,48.6,29.0,1714,3.0,1.01,0.97
121,Invictus Gaming,S10,CN,106,57.5%,0.97,1816,63,30:50,14.5,14.8,6.2,5.4,20.8,28.3,2.16,49.7,0.49,48.2,0.84,-0.1,297,0.65,53.1,31.8,2215,3.1,1.15,1.50
122,Iron Wolves,S10,EUW,6,16.7%,0.75,1688,-155,32:09,15.8,21.2,4.7,7.3,33.3,16.7,1.17,22.2,0.50,33.3,0.50,-1.0,-1591,0.50,50.0,28.4,1929,2.7,1.02,1.09
123,Istanbul Wildcats,S10,TR,48,68.8%,1.54,1790,124,33:23,16.6,10.8,7.1,4.8,56.3,47.9,3.10,63.2,0.79,41.5,1.17,-0.3,-280,0.73,62.6,30.5,2038,3.0,1.11,1.29
124,Isurus Gaming,S10,LAT,53,60.4%,1.59,1753,121,36:41,12.8,8.0,6.8,4.9,69.8,56.6,3.26,66.0,1.06,52.8,1.13,0.3,976,0.85,62.7,31.8,1766,3.1,1.31,1.66
125,IZI Dream,S10,FR,35,28.6%,0.72,1646,-191,30:44,12.3,17.0,3.7,7.7,45.7,42.9,1.97,43.5,1.00,52.9,1.06,-0.4,-1113,0.46,33.8,29.1,1757,3.4,1.39,1.13
126,J Team,S10,PCS,53,54.7%,1.20,1769,63,32:38,14.6,12.1,6.1,4.8,67.9,56.6,2.75,56.4,0.92,46.2,1.04,0.1,438,0.77,61.7,31.3,1905,3.3,1.37,1.55
127,JD Gaming,S10,CN,124,67.7%,1.32,1833,124,32:27,14.7,11.1,7.0,4.8,26.6,22.6,2.43,52.2,0.45,44.5,0.70,0.0,327,0.73,62.5,33.1,1951,3.4,1.20,1.63
128,Jin Air Green Wings,S10,KR,75,50.7%,1.10,1741,23,33:28,12.3,11.2,6.1,5.8,50.7,53.3,2.53,50.9,1.11,58.0,1.11,0.2,413,0.67,54.5,32.0,1836,3.5,1.58,1.70
129,K1CK Neosurf,S10,PL,84,66.7%,1.44,1838,182,31:44,16.3,11.3,7.5,4.3,69.0,71.4,2.61,57.2,1.31,66.7,0.94,0.9,1874,0.80,71.3,31.3,2094,3.5,1.41,1.38
130,KaBuM! e-Sports,S10,BR,53,58.5%,1.18,1774,78,33:47,15.5,13.1,6.7,5.5,37.7,54.7,2.74,55.0,1.02,51.9,0.92,0.1,235,0.74,55.1,31.1,2123,3.5,1.43,1.39
131,Karma Clan Esports,S10,PT,16,0.0%,0.50,1547,-341,31:09,8.4,16.6,2.2,10.0,37.5,37.5,1.19,24.5,0.50,25.0,0.69,-0.8,-1978,0.25,16.7,29.1,1544,2.8,1.15,1.06
132,Kenty,S10,EUW,6,33.3%,0.55,1589,-229,35:36,10.3,18.8,3.7,8.5,33.3,50.0,2.33,43.9,1.17,58.3,1.17,-0.5,-1862,0.50,23.3,29.4,1615,3.1,1.08,1.33
133,Komputronik H34T,S10,PL,19,57.9%,1.09,1737,7,36:17,15.7,14.3,6.6,5.9,21.1,42.1,2.95,52.9,1.11,55.3,1.00,-0.4,-913,0.95,66.7,29.6,1968,3.5,1.46,1.32
134,KT Rolster,S10,KR,100,46.0%,0.95,1734,-17,32:50,10.4,11.0,5.7,5.9,47.0,57.0,2.51,52.7,1.07,54.0,1.13,0.2,17,0.59,47.5,32.8,1781,3.8,1.55,1.82
135,Last Shadows,S10,RO,14,21.4%,0.74,1626,-207,31:04,12.3,16.6,2.3,8.6,50.0,14.3,1.43,27.1,0.21,10.7,0.36,-0.9,-1163,0.36,25.0,29.6,1850,2.7,0.68,0.88
136,LDLC OL,S10,FR,86,64.0%,1.08,1848,127,30:46,16.9,15.6,7.2,4.8,52.3,64.0,2.48,54.0,1.19,60.5,1.09,0.4,681,0.85,62.0,30.8,2208,2.9,1.10,1.26
137,Legacy eSports,S10,OCE,66,75.8%,1.65,1836,201,31:58,15.2,9.2,7.8,4.0,56.1,56.1,2.62,56.9,1.05,53.8,0.97,0.5,1246,0.94,74.6,31.8,2020,3.3,1.21,1.35
138,LGD Gaming,S10,CN,120,50.0%,1.01,1768,6,33:17,13.2,13.1,6.2,6.0,31.7,30.8,2.46,50.0,0.48,39.7,0.88,-0.1,53,0.61,50.5,31.9,1903,3.3,1.23,1.67
139,LinGan e-Sports,S10,CN,4,25.0%,0.49,1595,-355,29:55,8.8,18.0,2.8,7.8,-,-,1.25,17.9,-,-,-,-,-,0.25,11.1,30.8,1577,3.3,1.35,1.36
140,Liyab Esports,S10,PCS,37,27.0%,0.62,1626,-191,31:19,10.4,16.9,3.6,7.3,48.6,37.8,2.22,46.2,0.57,32.4,1.03,-0.4,-1039,0.32,26.6,30.0,1728,3.1,1.21,1.26
141,LNG Esports,S10,CN,81,37.0%,0.81,1699,-91,31:47,10.8,13.4,4.9,6.9,17.3,16.0,2.30,48.3,0.41,48.6,0.78,-0.2,-687,0.51,39.2,31.3,1822,3.2,1.11,1.56
142,LowLandLions,S10,EUW,6,0.0%,0.33,1569,-525,27:32,8.8,27.2,1.2,9.3,50.0,16.7,1.33,37.2,0.50,33.3,1.00,-2.2,-4718,0.17,25.0,28.4,2149,3.2,1.31,1.14
143,M19,S10,CIS,15,20.0%,0.70,1653,-221,31:02,12.6,17.9,2.6,8.2,46.7,26.7,2.27,50.1,0.73,40.0,0.87,-1.3,-2222,0.20,17.9,30.3,1783,3.2,1.32,1.27
144,Machi E-Sports,S10,PCS,83,66.3%,1.21,1779,107,32:29,13.6,11.2,7.1,4.5,53.0,62.7,2.82,60.3,1.00,50.6,1.16,0.4,461,0.70,61.5,31.4,1960,3.6,1.35,1.56
145,MAD Lions,S10,EUW,69,50.7%,0.97,1764,-10,32:27,13.8,14.3,6.5,6.2,47.8,50.7,2.51,52.7,0.97,51.5,0.96,-0.1,-327,0.64,51.6,31.1,1942,3.4,1.40,1.33
146,MAD Lions Madrid,S10,ES,60,53.3%,1.15,1735,18,33:20,13.7,11.9,6.4,6.0,60.0,55.0,2.62,52.2,1.02,51.7,0.95,0.2,223,0.68,56.7,30.8,1864,3.3,1.45,1.36
147,Mammoth,S10,OCE,42,23.8%,0.56,1611,-240,30:53,9.1,16.2,3.7,7.8,33.3,42.9,1.79,37.0,0.64,32.1,0.83,-0.5,-1685,0.43,31.5,30.0,1673,3.2,1.35,1.20
148,Misfits Gaming,S10,EUW,40,45.0%,0.87,1728,-39,33:41,10.8,12.4,5.6,6.9,47.5,40.0,2.23,46.8,1.05,52.5,1.05,-0.3,-236,0.83,49.1,31.9,1706,3.2,1.24,1.32
149,Misfits Premier,S10,FR,66,65.2%,1.34,1819,118,32:57,16.6,12.4,7.0,5.3,62.1,45.5,2.65,58.1,0.97,50.8,1.12,0.1,645,0.74,58.3,31.5,2017,3.1,1.22,1.29
150,Mkers,S10,IT,27,63.0%,1.25,1835,202,30:40,14.5,11.6,7.6,4.0,63.0,74.1,2.48,59.7,1.67,83.3,1.30,0.8,2012,0.78,66.7,32.0,1912,3.2,1.17,1.32
151,MOBA ROG,S10,IT,14,7.1%,0.47,1555,-408,31:40,10.5,22.4,1.6,9.6,14.3,28.6,1.29,26.1,0.43,21.4,0.57,-1.4,-3622,0.07,3.6,28.3,1806,2.7,1.07,0.90
152,Mousesports,S10,DE,87,65.5%,1.24,1847,132,31:16,16.2,13.0,7.4,4.9,40.2,63.2,2.38,52.6,1.25,63.4,0.99,0.6,1369,0.71,57.3,31.9,2111,3.4,1.33,1.24
153,Movistar Academy,S10,EUW,5,60.0%,0.88,1716,-105,35:06,15.6,19.2,5.6,5.8,60.0,20.0,2.20,38.7,0.80,40.0,0.80,-1.8,-2095,0.40,50.0,41.1,3089,4.3,1.57,1.57
154,Movistar Riders,S10,ES,77,70.1%,1.31,1825,140,33:13,15.4,11.7,7.4,4.4,64.9,63.6,3.25,67.3,1.39,70.4,1.29,0.4,856,0.70,60.1,32.3,2067,3.4,1.33,1.42
155,mYinsanity,S10,DE,36,22.2%,0.65,1641,-244,30:46,10.9,17.5,3.8,8.4,52.8,25.0,1.78,39.0,0.64,32.9,0.89,-0.9,-2135,0.36,26.0,29.8,1837,3.0,1.19,1.10
156,neXtPlease! Gaming,S10,RO,12,83.3%,1.66,1893,298,30:26,19.1,11.4,8.6,2.4,66.7,66.7,3.75,77.5,1.25,62.5,1.50,0.8,2176,1.00,72.7,30.8,2098,2.6,0.98,0.91
157,Nexus Gaming,S10,RO,13,61.5%,1.13,1719,59,35:20,14.5,12.8,5.8,5.6,23.1,53.8,2.92,51.5,0.77,38.5,1.31,0.7,473,0.92,55.1,29.3,1994,2.5,0.84,1.00
158,Nova Esports,S10,PCS,47,34.0%,0.75,1684,-81,32:56,10.0,13.3,5.1,6.8,31.9,40.4,1.81,36.6,0.96,48.9,0.60,0.1,-109,0.49,37.0,32.0,1705,3.3,1.18,1.51
159,OFFSET Esports,S10,PT,24,58.3%,1.06,1706,-19,31:39,14.2,13.3,6.0,5.5,50.0,29.2,2.42,50.4,0.79,39.6,1.08,-0.5,-1130,0.63,59.5,29.4,1955,3.1,1.29,1.14
160,OMG,S10,CN,83,41.0%,0.81,1729,-65,31:55,11.2,13.7,5.1,6.6,24.1,14.5,2.10,44.7,0.46,48.8,0.85,-0.3,-550,0.55,42.5,32.2,1767,3.3,1.21,1.42
161,One Breath Gaming,S10,CIS,17,52.9%,0.95,1704,-37,31:21,12.0,12.6,5.5,6.1,41.2,29.4,2.41,51.2,1.06,60.0,0.93,-0.7,-861,0.47,47.6,30.7,1754,3.1,1.30,1.18
162,OP innogy eSport,S10,DE,44,38.6%,0.82,1676,-145,31:35,13.5,16.4,4.9,7.3,38.6,38.6,2.52,52.1,0.82,41.9,1.23,-0.6,-1154,0.52,41.3,28.8,2011,2.9,1.18,1.18
163,Order,S10,OCE,67,59.7%,1.12,1769,76,32:09,13.4,11.9,6.4,5.0,52.2,50.7,2.79,59.3,1.13,57.5,1.31,0.2,551,0.66,53.3,32.3,1892,3.0,1.36,1.34
164,Origen,S10,EUW,48,50.0%,1.15,1729,24,35:01,12.1,10.5,6.5,5.9,50.0,39.6,2.23,45.5,0.98,51.1,0.58,0.1,291,0.73,54.7,31.8,1909,3.6,1.25,1.44
165,Outplayed,S10,IT,42,57.1%,1.18,1741,45,32:23,15.9,13.4,6.5,5.7,50.0,59.5,2.76,56.3,0.98,48.8,1.02,0.3,714,0.71,53.7,29.3,1981,3.2,1.21,1.21
166,OverPower Esports,S10,VN,33,24.2%,0.68,1716,-203,29:30,12.3,18.1,3.8,7.7,39.4,42.4,1.97,44.3,0.73,36.4,1.03,-0.3,-986,0.33,26.4,31.6,1836,3.2,1.32,1.21
167,OZ Gaming,S10,KR,78,44.9%,0.97,1697,-28,33:46,11.2,11.6,5.6,6.4,56.4,42.3,2.31,46.5,0.99,50.6,1.08,-0.2,-200,0.63,47.3,31.2,1836,3.4,1.45,1.55
168,paiN Gaming,S10,BR,51,54.9%,1.15,1772,57,32:57,14.0,12.1,6.4,5.9,56.9,47.1,2.47,51.7,0.86,45.1,1.12,-0.1,462,0.69,52.1,31.6,1907,3.7,1.49,1.50
169,Papara SuperMassive,S10,TR,62,58.1%,1.21,1785,106,32:00,14.4,11.9,6.8,4.8,61.3,75.8,2.79,61.2,1.16,59.7,1.31,0.7,1590,0.76,58.5,31.3,1871,3.1,1.18,1.29
170,Pentanet.GG,S10,OCE,49,42.9%,0.92,1689,-72,33:14,11.6,12.5,5.5,6.7,63.3,38.8,2.37,45.7,0.94,46.9,0.90,-0.3,-705,0.51,42.2,30.9,1685,3.3,1.28,1.21
171,Percent Esports,S10,VN,37,32.4%,0.80,1705,-137,31:53,10.9,13.7,4.8,7.1,37.8,40.5,2.03,41.0,0.68,33.8,0.84,-0.5,-1117,0.41,31.9,32.1,1832,3.8,1.56,1.50
172,PIGSPORTS,S10,EUW,6,0.0%,0.44,1604,-404,30:37,11.8,27.0,1.3,9.5,33.3,-,1.17,25.3,0.00,0.0,0.50,-1.8,-4422,0.00,0.0,28.5,2076,2.2,0.71,0.93
173,piratesports,S10,PL,37,32.4%,0.81,1665,-120,33:59,11.7,14.5,5.0,7.3,40.5,29.7,2.62,50.0,0.70,35.1,1.22,-0.7,-1340,0.62,45.7,30.0,1854,2.8,1.13,1.11
174,Pixel Esports Club,S10,LAT,28,28.6%,0.67,1639,-140,35:03,8.2,12.3,4.8,7.8,57.1,42.9,1.93,35.5,0.86,44.6,0.64,-0.3,-699,0.36,29.5,31.5,1704,3.6,1.43,1.35
175,Pompa Team,S10,PL,36,52.8%,1.17,1721,-13,31:46,13.6,11.6,5.6,5.9,50.0,27.8,2.06,42.1,1.08,54.2,0.69,-0.5,-549,0.56,38.7,30.7,1846,3.2,1.38,1.21
176,PRIDE,S10,PL,31,16.1%,0.58,1589,-271,34:50,10.0,17.0,3.0,8.6,51.6,25.8,2.03,37.5,0.45,22.6,1.03,-0.7,-1774,0.23,11.9,30.2,1788,3.0,1.22,1.27
177,Prodigy Esports,S10,BR,47,51.1%,1.07,1747,11,33:47,14.8,13.8,7.0,6.0,59.6,61.7,2.49,49.7,1.34,67.0,0.81,0.2,492,0.70,50.0,29.9,2050,3.5,1.45,1.41
178,PSG Talon,S10,PCS,93,66.7%,1.54,1784,132,33:06,13.5,8.8,6.8,4.8,44.1,40.9,2.76,58.8,0.91,47.3,1.10,-0.2,513,0.83,69.6,32.3,1866,3.4,1.23,1.60
179,Qlash Forge,S10,IT,14,21.4%,0.63,1618,-224,30:32,10.2,16.3,3.9,8.1,50.0,28.6,1.07,22.9,0.86,42.9,0.21,-0.8,-1667,0.29,25.0,29.5,1632,2.7,1.00,1.10
180,Racoon,S10,IT,78,59.0%,1.12,1760,57,33:09,16.2,14.4,6.8,5.3,52.6,39.7,2.73,56.2,1.12,56.4,1.19,0.0,321,0.68,53.5,30.2,1990,3.2,1.20,1.15
181,Rainbow7,S10,LAT,61,57.4%,1.12,1720,51,36:23,10.9,9.7,6.6,5.3,49.2,47.5,2.70,51.4,1.05,53.3,0.90,0.2,825,0.82,56.4,31.8,1724,3.4,1.36,1.65
182,RAMS,S10,CZ,17,29.4%,0.72,1683,-139,36:32,12.9,17.8,4.9,8.2,58.8,35.3,2.12,35.3,1.00,55.9,0.65,-0.4,-241,0.65,29.7,30.6,1944,3.4,1.14,1.13
183,Rascal Jester,S10,JP,33,33.3%,0.66,1628,-164,33:38,10.8,16.3,4.2,6.8,45.5,36.4,2.03,39.8,0.67,36.4,0.94,-0.3,-1352,0.45,36.7,29.9,1715,3.3,1.21,1.67
184,RED Canids,S10,BR,38,65.8%,1.03,1778,54,34:22,14.4,14.0,7.8,5.8,44.7,47.4,2.97,60.6,1.08,55.3,1.24,0.1,339,0.76,52.8,31.2,2011,3.5,1.54,1.46
185,Redemption POA,S10,BR,36,27.8%,0.80,1647,-153,33:25,12.8,16.0,4.4,7.9,44.4,33.3,1.78,35.4,1.06,52.8,0.75,-0.4,-849,0.53,33.8,29.2,1871,3.5,1.57,1.43
186,Rensga eSports,S10,BR,19,52.6%,0.94,1758,13,32:14,12.2,13.1,7.2,5.7,68.4,73.7,2.42,51.0,1.32,65.8,0.95,0.5,719,0.84,52.0,31.1,1774,3.3,1.41,1.35
187,Repre Gold,S10,CZ,23,73.9%,1.07,1936,212,30:16,20.7,19.2,7.8,3.5,69.6,78.3,2.13,52.4,1.26,65.2,1.00,1.0,1931,0.87,61.4,31.3,2394,3.1,1.23,1.21
188,Resurgence,S10,PCS,36,22.2%,0.60,1615,-225,31:30,8.6,14.2,4.0,8.1,44.4,33.3,1.47,29.4,0.81,40.3,0.61,-1.0,-2034,0.47,31.8,30.5,1430,3.3,1.35,1.25
189,Riddle Esports,S10,EUW,9,55.6%,0.95,1802,35,31:44,13.7,14.2,6.7,5.4,44.4,44.4,2.78,59.6,0.89,44.4,1.44,0.0,12,0.78,59.3,32.4,1956,2.6,1.03,1.01
190,Rogue,S10,EUW,61,52.5%,1.10,1743,12,33:13,11.8,10.6,6.4,5.9,57.4,72.1,2.20,45.2,1.02,51.6,0.80,0.3,353,0.62,52.6,31.8,1700,3.3,1.18,1.32
191,Rogue Warriors,S10,CN,83,38.6%,0.81,1676,-136,32:24,12.8,15.7,4.8,7.1,22.9,16.9,2.02,39.8,0.49,60.3,0.92,-0.1,-1269,0.47,37.0,29.7,1763,3.1,1.15,1.56
192,RoX,S10,CIS,35,57.1%,1.03,1731,1,32:48,14.3,13.8,6.3,5.4,48.6,34.3,2.14,43.0,0.80,42.4,0.82,-0.5,-661,0.80,59.4,29.9,1926,3.2,1.27,1.27
193,Royal Never Give Up,S10,CN,95,55.8%,1.19,1776,48,32:55,13.8,11.6,6.3,5.3,26.3,20.0,2.65,54.8,0.35,45.8,1.05,-0.1,834,0.58,52.5,31.7,1769,3.6,1.34,1.65
194,Royal Youth,S10,TR,34,17.6%,0.51,1562,-337,29:21,8.7,17.0,2.6,7.6,29.4,29.4,1.24,25.5,0.71,35.3,0.56,-1.1,-2895,0.24,19.0,29.1,1575,2.9,1.06,1.07
195,RunAway,S10,KR,36,44.4%,0.99,1738,-12,32:57,10.6,10.8,5.7,6.5,41.7,50.0,2.14,44.7,0.89,45.8,0.69,-0.1,286,0.67,50.0,33.0,1736,3.3,1.32,1.63
196,S2V Esports,S10,ES,49,40.8%,0.95,1740,-26,34:04,12.5,13.1,5.7,6.7,46.9,46.9,1.98,38.2,1.00,52.1,0.73,-0.1,-25,0.67,48.1,32.0,1869,3.3,1.35,1.41
197,Saigon Buffalo,S10,VN,67,37.3%,0.83,1725,-119,30:39,13.3,16.0,4.7,7.2,43.3,37.3,2.18,47.4,0.84,42.5,0.99,-0.6,-1345,0.54,45.0,30.9,1920,3.3,1.34,1.44
198,SAMCLAN Esports,S10,PT,51,51.0%,1.04,1747,36,33:41,14.1,13.5,5.9,6.2,45.1,43.1,2.84,57.6,0.84,46.1,1.18,0.0,454,0.73,53.4,32.5,2006,3.0,1.09,1.41
199,Samsung Morning Stars,S10,IT,53,62.3%,1.33,1776,120,33:10,15.1,11.4,6.4,5.1,45.3,52.8,2.64,55.7,0.74,38.7,0.94,0.2,857,0.72,57.5,30.7,2061,3.1,1.22,1.27
200,Sandbox Gaming,S10,KR,102,42.2%,0.85,1705,-64,32:51,10.2,12.0,5.0,6.0,43.1,51.0,2.18,45.2,0.93,50.0,0.80,-0.1,-336,0.48,44.7,32.8,1700,3.7,1.60,1.86
201,Santos e-Sports,S10,BR,42,66.7%,1.19,1820,128,31:14,15.9,13.3,7.0,4.9,42.9,52.4,2.64,59.3,1.12,56.0,1.19,0.0,-130,0.79,71.2,31.0,2098,3.1,1.23,1.30
202,Schalke Evolution,S10,DE,75,62.7%,1.25,1796,80,33:10,14.1,11.3,6.9,5.6,53.3,50.7,2.63,53.5,1.00,53.4,0.99,-0.1,354,0.75,56.0,32.2,2078,3.3,1.09,1.39
203,SDX Gaming,S10,CN,4,25.0%,0.66,1716,-163,31:05,12.8,19.3,4.3,6.8,-,-,2.75,56.7,-,-,-,-,-,0.75,50.0,30.3,1808,3.4,1.29,1.53
204,Sector One,S10,EUW,18,55.6%,0.93,1772,8,31:56,15.9,17.0,6.3,5.5,50.0,72.2,2.61,54.7,1.06,58.3,1.22,0.8,313,0.72,53.1,30.2,2135,3.1,1.13,1.13
205,Sengoku Gaming,S10,JP,44,54.5%,0.95,1713,55,36:15,10.3,10.8,6.5,5.7,34.1,52.3,3.09,56.7,1.14,59.1,0.95,-0.1,547,0.77,56.3,32.2,1880,3.5,1.29,1.63
206,SeolHaeOne Prince,S10,KR,87,27.6%,0.61,1636,-213,32:48,9.8,16.2,4.0,7.5,50.6,39.1,1.90,36.9,0.83,43.1,0.63,-0.4,-1562,0.51,36.2,31.1,1745,3.6,1.40,1.67
207,SINNERS Esports,S10,CZ,20,55.0%,1.20,1816,127,33:03,17.2,14.3,7.8,5.4,60.0,75.0,3.00,60.0,1.20,60.0,1.10,0.5,1439,0.90,67.6,30.2,2076,3.1,1.29,1.22
208,SK Gaming,S10,EUW,39,33.3%,0.74,1694,-115,33:31,9.7,13.0,4.9,7.3,46.2,35.9,2.64,53.1,0.92,51.3,1.08,-0.1,-785,0.62,36.9,31.9,1687,3.3,1.19,1.31
209,SK Gaming Prime,S10,DE,37,18.9%,0.65,1667,-169,32:56,11.0,16.7,4.2,8.4,43.2,35.1,2.08,41.4,0.68,38.9,0.94,-0.7,-933,0.35,25.3,31.2,1899,3.0,1.20,1.26
210,SLO REJECTS,S10,EUW,11,63.6%,1.10,1807,41,32:56,18.0,16.4,7.1,5.3,63.6,36.4,3.27,61.6,1.27,63.6,1.09,-0.2,-774,0.82,47.7,31.0,2038,3.4,1.22,1.45
211,SoftBank Hawks Gaming,S10,JP,33,36.4%,0.88,1668,-67,32:53,10.0,11.4,4.5,6.7,36.4,36.4,2.39,50.0,0.64,31.8,0.94,-0.5,-408,0.58,40.9,31.9,1663,3.3,1.33,1.46
212,Solary,S10,FR,29,37.9%,0.81,1672,-103,34:41,12.5,15.4,5.0,7.4,37.9,31.0,2.55,47.6,0.62,34.5,0.90,-0.5,-930,0.79,51.2,29.7,1841,3.2,1.28,1.30
213,soon to be named,S10,PL,5,60.0%,1.23,1895,239,34:44,20.0,16.2,8.2,5.2,100.0,80.0,2.40,46.9,1.20,60.0,0.80,1.8,2094,1.20,73.3,31.4,2047,2.6,0.96,1.11
214,Suning,S10,CN,119,55.5%,1.05,1786,54,33:11,14.0,13.3,6.6,5.4,28.6,33.6,2.39,50.0,0.62,52.1,0.78,0.0,326,0.76,59.7,31.9,2039,3.9,1.36,1.61
215,SuppUp eSports,S10,RS,12,25.0%,0.68,1658,-186,33:56,11.8,17.4,4.6,7.8,41.7,41.7,1.83,33.2,0.92,45.8,0.67,-0.3,-1220,0.67,32.7,29.8,1969,3.0,1.10,1.25
216,T1,S10,KR,113,63.7%,1.45,1820,134,33:39,12.8,8.7,6.9,4.8,56.6,50.4,2.62,55.9,0.94,48.7,1.08,0.1,596,0.70,61.9,34.5,1793,4.0,1.45,1.84
217,Team Aurora,S10,TR,44,36.4%,0.78,1655,-177,31:34,12.5,15.9,4.0,7.3,45.5,29.5,2.11,44.0,0.84,43.0,0.89,-0.7,-1463,0.48,43.4,29.9,1707,3.2,1.32,1.30
218,Team Brute,S10,CZ,28,28.6%,0.65,1596,-230,32:49,10.1,15.6,3.9,7.9,21.4,32.1,1.96,37.0,0.46,23.2,0.82,-1.0,-1966,0.39,24.0,29.8,1669,2.8,1.03,1.05
219,Team Dynamics,S10,KR,91,52.7%,1.04,1740,5,32:11,12.2,11.8,5.7,5.4,36.3,56.0,2.66,57.2,1.01,53.8,1.04,0.2,-278,0.70,54.8,32.0,1819,3.4,1.37,1.69
220,Team Flash,S10,VN,107,61.7%,1.09,1820,63,31:35,15.3,14.0,6.8,5.2,54.2,49.5,2.58,54.8,0.99,54.4,1.05,0.0,344,0.75,56.7,32.1,1941,3.2,1.26,1.43
221,Team Liquid,S10,NA,60,60.0%,1.28,1769,90,35:17,12.0,9.4,6.9,5.4,43.3,56.7,2.38,49.1,0.93,49.2,0.93,0.1,494,0.97,67.0,32.8,1788,3.2,1.18,1.45
222,Team Liquid Academy,S10,NA,39,28.2%,0.68,1693,-127,35:14,11.1,16.3,4.8,7.5,43.6,41.0,1.62,29.6,0.79,39.7,0.56,-0.4,-672,0.59,38.7,31.7,1830,3.2,1.23,1.22
223,Team MCES,S10,FR,27,14.8%,0.65,1635,-192,33:27,10.4,16.1,4.4,8.1,51.9,44.4,2.00,39.3,0.81,40.7,1.00,0.0,-728,0.30,24.0,30.3,1692,3.2,1.24,1.27
224,Team oNe eSports,S10,BR,50,52.0%,1.12,1756,38,33:53,13.4,12.0,6.6,6.6,54.0,54.0,2.56,49.2,0.82,43.0,0.86,0.1,319,0.78,53.1,31.1,1872,3.4,1.32,1.31
225,Team Queso,S10,ES,53,45.3%,1.01,1696,-63,34:36,11.8,11.7,5.6,7.0,43.4,37.7,2.25,42.7,0.70,35.6,0.83,-0.3,-684,0.66,45.4,31.1,1854,3.2,1.31,1.29
226,Team Sampi,S10,CZ,35,65.7%,1.61,1891,245,31:50,18.5,11.5,8.1,4.0,60.0,74.3,2.83,60.4,1.54,78.6,1.26,0.8,2441,0.83,65.7,31.8,2066,3.2,1.29,1.18
227,Team Secret,S10,VN,87,52.9%,0.99,1797,19,30:54,13.8,13.9,6.4,5.9,48.3,50.6,2.20,48.1,0.98,55.7,0.81,0.3,377,0.72,59.0,31.8,1901,3.0,1.19,1.49
228,Team Singularity,S10,EUW,6,0.0%,0.33,1563,-496,26:06,7.3,22.3,1.3,9.2,33.3,-,1.00,27.8,0.33,16.7,0.83,-3.3,-4713,0.17,20.0,28.7,1794,2.8,1.17,0.87
229,Team Vitality,S10,EUW,36,25.0%,0.71,1662,-158,35:24,9.8,13.8,4.7,8.3,47.2,47.2,1.94,35.8,0.75,38.9,0.78,-0.4,-797,0.67,35.3,31.9,1612,3.8,1.58,1.33
230,Team WE,S10,CN,105,51.4%,1.04,1759,0,32:07,13.8,13.3,5.9,5.9,19.0,23.8,2.58,54.5,0.44,53.4,1.02,0.2,-217,0.68,53.7,31.0,1866,3.3,1.35,1.65
231,Top Esports,S10,CN,129,66.7%,1.29,1843,138,32:17,15.5,12.0,7.3,4.8,23.3,27.1,2.61,55.6,0.60,56.6,1.03,0.2,669,0.81,64.5,32.5,2102,3.3,1.30,1.61
232,TSM,S10,NA,77,53.2%,1.13,1741,30,35:18,12.0,10.6,6.7,5.9,59.7,54.5,2.61,49.7,0.97,50.6,0.96,0.1,286,0.71,48.4,32.1,1798,3.4,1.36,1.44
233,TSM Academy,S10,NA,50,60.0%,1.13,1744,45,34:07,13.8,12.1,6.3,5.8,58.0,46.0,2.78,56.2,0.90,45.0,0.96,0.1,358,0.78,55.9,30.9,1893,3.1,1.30,1.28
