,name,season,region,games,win rate,k:d,gold per min,gold diff per min,game duration,kill per game,deaths per game,towers killed,towers lost,first blood rate,first tower rate,dragons per game,dragons %,heralds per game,herald %,avg dragons 15min,tower diff 15min,gold diff 15min,nashor per game,nashor %,cs per min,dmg per min,wards per min,vision wards per min,wards cleared per min
26,Boavista FC,S10,PT,34,38.2%,0.78,1701,-63,33:41,12.4,15.8,5.4,6.4,35.3,61.8,2.24,42.1,1.15,57.4,0.65,0.1,-150,0.50,39.6,30.6,1769,3.4,1.30,1.27
27,BT Excel,S10,UK,9,44.4%,1.20,1722,22,31:36,11.2,9.3,5.8,6.8,44.4,66.7,3.00,60.6,1.11,55.6,1.11,0.2,201,0.67,48.1,30.9,1878,3.2,1.34,1.36
28,Burning Core,S10,JP,34,38.2%,0.95,1648,-77,34:10,11.7,12.3,5.0,6.6,47.1,41.2,2.32,43.3,0.94,50.0,0.79,-0.3,-768,0.68,42.2,29.9,1753,3.4,1.22,1.58
29,Campus Party Sparks,S10,IT,34,44.1%,0.93,1705,-55,30:49,13.1,14.0,5.4,6.1,44.1,47.1,2.21,46.7,0.91,47.1,1.00,-0.1,-670,0.56,42.4,30.2,1809,3.0,1.19,0.99
30,Cerberus Esports,S10,VN,74,52.7%,1.05,1802,30,31:59,15.0,14.3,6.5,5.6,48.6,55.4,2.70,55.2,1.12,56.8,1.12,0.4,238,0.80,57.5,31.6,1958,3.4,1.45,1.47
31,Chief Esports Club,S10,OCE,66,63.6%,1.25,1799,118,31:42,15.6,12.5,7.0,4.7,54.5,62.1,2.58,58.5,1.15,59.2,1.03,0.3,652,0.74,65.8,31.0,1993,3.0,1.18,1.35
32,Chungnam,S10,KR,2,0.0%,0.19,1431,-731,22:25,4.5,23.5,0.5,10.5,50.0,-,0.50,16.7,0.50,25.0,0.50,-2.5,-5338,0.00,0.0,27.4,1327,2.6,0.97,0.64
33,Cidade Curiosa,S10,PT,14,28.6%,0.77,1595,-183,34:48,11.6,15.0,3.1,8.2,50.0,35.7,2.14,37.1,0.64,32.1,0.64,-0.5,-1521,0.36,23.8,29.1,1575,3.0,1.27,1.13
34,CLG,S10,NA,37,21.6%,0.68,1650,-190,34:32,9.7,14.4,4.1,8.5,40.5,32.4,1.86,32.9,0.68,36.5,0.62,-0.7,-1540,0.43,22.7,31.8,1716,3.3,1.27,1.31
35,CLG Academy,S10,NA,44,36.4%,0.79,1685,-118,32:14,11.1,14.1,4.7,7.2,43.2,40.9,2.07,41.9,0.77,39.8,0.86,-0.4,-1163,0.52,42.3,30.8,1725,2.9,1.10,1.23
36,Cloud9,S10,NA,57,77.2%,1.69,1882,253,31:10,15.6,9.2,8.0,3.5,56.1,75.4,3.05,68.8,1.46,73.7,1.32,0.7,2073,0.95,72.0,32.7,2076,3.3,1.21,1.32
37,Cloud9 Academy,S10,NA,50,78.0%,1.64,1842,185,32:35,17.8,10.8,7.8,3.8,56.0,66.0,3.30,69.4,1.04,54.0,1.34,0.4,704,0.74,66.3,31.7,2037,3.0,1.17,1.28
38,Clumsy Execution,S10,RO,13,76.9%,1.97,1841,279,29:43,15.8,8.0,8.0,2.4,92.3,84.6,2.85,64.7,1.62,80.8,1.00,0.5,2450,0.85,77.8,30.6,1942,2.5,0.87,0.94
39,cooL Gaming,S10,RO,14,35.7%,0.67,1641,-213,29:13,14.1,21.0,3.6,6.7,42.9,28.6,1.93,41.2,0.79,39.3,0.79,-0.8,-2851,0.43,32.1,27.2,1992,2.3,0.75,0.87
40,CR4ZY,S10,EUW,7,42.9%,1.14,1740,-26,27:51,13.7,12.0,4.0,6.6,57.1,42.9,1.57,38.8,1.00,50.0,0.43,-0.6,-91,0.14,20.0,31.3,1823,3.1,1.27,1.19
41,Cream Real Betis,S10,ES,28,46.4%,0.89,1754,3,32:00,11.6,13.0,6.2,6.1,46.4,35.7,2.11,42.9,0.79,40.7,0.81,-0.3,-90,0.68,50.0,31.9,1899,2.9,1.07,1.27
42,Crest Gaming Act,S10,JP,47,51.1%,0.98,1695,-11,32:30,12.9,13.1,5.2,5.7,48.9,55.3,2.19,46.7,1.04,53.2,0.94,-0.1,-390,0.60,54.3,30.4,1792,3.4,1.33,1.48
43,CrowCrowd,S10,CIS,31,48.4%,0.92,1711,-34,32:04,13.1,14.2,5.3,6.0,61.3,51.6,2.52,52.2,0.90,48.3,1.00,0.3,-83,0.39,42.0,30.4,1973,3.2,1.31,1.34
44,Cyber Gaming,S10,CZ,67,50.7%,0.92,1752,-33,30:53,14.8,16.1,5.9,5.9,44.8,41.8,2.28,50.8,0.78,41.0,0.97,-0.1,-263,0.66,49.7,29.9,1994,2.7,1.00,1.04
45,Cyberground Gaming,S10,IT,40,45.0%,0.83,1677,-93,32:51,14.4,17.3,5.3,6.6,47.5,47.5,2.55,49.3,0.83,41.3,1.00,-0.2,-894,0.68,47.4,28.8,1935,2.7,1.05,1.15
46,DAMWON Gaming,S10,KR,115,67.8%,1.37,1871,184,31:30,13.9,10.1,7.5,4.0,52.2,70.4,2.61,58.3,1.36,70.4,1.02,0.7,1339,0.74,64.0,34.0,1995,3.6,1.37,1.72
47,Dark Passage,S10,TR,42,52.4%,1.02,1707,-22,31:59,13.0,12.7,5.7,6.0,57.1,57.1,2.14,43.2,1.07,54.8,0.81,0.3,541,0.64,49.5,30.1,1738,2.7,1.12,1.16
