"number","name","earnings","gold","silver","bronze","premier"
227,"Anorthosis Famagusta Esports","$17,339",3,1,0,0
228,"FTV Esports","$17,299",0,0,0,0
229,"Team Secret","$17,287",0,0,1,0
230,"Freecs Challengers","$17,258",0,1,0,0
231,"Team MCES","$16,746",0,1,2,0
232,"SEM9","$16,500",0,0,0,0
233,"Team DPD","$16,433",0,2,0,0
234,"Bastille Legacy","$16,424",2,2,1,0
235,"Vorax Liberty","$16,373",0,2,1,0
236,"NVision Esports","$16,315",1,1,0,0
237,"Seorabeol Gaming","$16,246",1,0,0,0
238,"Team Aze","$16,140",3,3,0,0
239,"Cherry Esports","$16,128",0,0,0,0
240,"Wind and Rain Balkan","$16,116",1,0,1,0
240,"Winners","$16,116",0,1,1,0
242,"Evil Geniuses Prodigies","$16,100",1,1,1,0
243,"Diabolus Esports","$15,769",4,4,4,0
244,"Random 5","$15,384",1,0,0,0
245,"G2 Arctic","$15,326",0,2,0,0
246,"x25 eSports","$14,960",0,1,2,0
247,"MachiX","$14,959",0,3,0,0
248,"Joy Dream","$14,826",0,0,1,0
249,"Alpha Esports","$14,740",0,0,0,0
250,"Zero Tenacity","$14,521",1,1,0,0
251,"LOUD","$14,210",1,0,1,0
252,"Mysterious Monkeys.ESLM","$14,162",1,0,0,0
253,"eUnited","$14,000",0,2,0,0
254,"mCon esports Rotterdam","$13,898",2,0,2,0
255,"Redemption eSports Porto Alegre","$13,796",1,0,1,0
256,"Sprout","$13,509",0,0,1,0
257,"Raise Gaming","$13,143",0,1,1,0
258,"Valiance","$13,126",0,1,0,0
259,"YouthCrew Esports","$13,000",1,0,1,1
260,"WIN Esports","$12,978",0,1,0,0
261,"The Final Tribe","$12,606",1,1,0,0
262,"WiLD MultiGaming","$12,360",1,1,1,0
263,"Dynasty","$12,197",2,2,4,0
264,"AGO Gaming","$11,901",1,1,1,0
265,"Operation Kino","$11,732",0,0,3,0
266,"FALKN","$11,261",1,2,0,0
267,"Bombers","$11,250",1,0,0,0
268,"MAMMOTH","$11,125",1,0,0,0
269,"Prodigy Esports","$11,002",0,1,0,0
270,"Echo Fox Academy","$11,000",0,1,0,0
271,"Team Forge","$10,952",1,1,0,0
272,"Szata Maga+6","$10,901",0,1,0,0
273,"EGN Esports","$10,858",3,2,1,0
274,"Rensga Esports","$10,580",0,1,0,0
275,"Arctic Gaming Mexico","$10,381",0,1,1,0
276,"MAD Lions Madrid","$10,375",0,1,0,0
277,"Immortals Academy","$10,000",0,0,0,0
277,"Capital Esports","$10,000",1,0,0,0
277,"Wildcard Gaming Red","$10,000",3,0,0,0
