,name,season,region,games,win rate,k:d,gold per min,gold diff per min,game duration,kill per game,deaths per game,towers killed,towers lost,first blood rate,first tower rate,dragons per game,dragons %,heralds per game,herald %,avg dragons 15min,tower diff 15min,gold diff 15min,nashor per game,nashor %,cs per min,dmg per min,wards per min,vision wards per min,wards cleared per min
0,100 Thieves,S12,NA,6,50.0%,1.29,1820,132,31:15,12.7,9.8,6.8,4.7,33.3,50.0,1.83,45.6,1.50,75.0,0.67,0.5,1521,0.50,50.0,33.6,1841,3.1,1.35,1.50
1,100 Thieves Academy,S12,NA,4,75.0%,1.26,1860,117,31:51,15.8,12.5,7.5,4.8,75.0,25.0,1.50,35.0,0.75,37.5,0.00,-0.3,-294,0.75,75.0,33.4,2125,2.9,1.29,1.25
2,1907 Fenerbahce,S12,TR,2,0.0%,0.44,1747,-270,35:58,11.0,25.0,3.5,9.5,50.0,50.0,2.00,33.3,1.50,75.0,1.00,0.0,-1324,0.50,16.7,32.7,2236,3.1,1.27,1.29
3,5 Ronin,S12,TR,2,100.0%,3.17,2041,431,25:19,19.0,6.0,10.0,2.5,-,50.0,3.50,100.0,1.00,50.0,2.00,0.0,2855,1.00,100.0,32.7,1970,2.9,1.40,1.04
4,5 Ronin Academy,S12,TR,2,0.0%,0.45,1612,-289,30:57,6.5,14.5,2.5,9.0,50.0,50.0,2.00,53.3,1.00,50.0,1.00,0.0,-2154,0.00,0.0,31.9,1265,2.7,1.03,1.36
5,AGO ROGUE,S12,PL,4,100.0%,5.25,2164,644,29:14,26.3,4.8,10.3,1.8,75.0,50.0,3.25,73.8,1.50,75.0,1.00,0.5,2523,1.50,100.0,35.0,2496,2.7,1.12,1.45
6,aNc Outplayed,S12,IT,2,50.0%,0.59,1597,-146,37:18,10.0,17.0,5.5,7.0,-,100.0,3.00,55.0,0.50,25.0,1.00,0.0,-992,0.00,0.0,28.9,2249,2.9,1.10,1.53
7,Anorthosis Famagusta Esports,S12,GR,2,50.0%,0.71,1744,-57,35:15,12.5,17.0,6.5,6.0,50.0,50.0,2.50,41.1,1.50,75.0,0.00,0.0,-1472,1.00,50.0,31.2,1668,3.1,0.84,1.26
8,Anyone s Legend,S12,CN,12,25.0%,0.84,1737,-152,31:43,12.3,14.7,3.9,7.3,66.7,25.0,2.42,57.4,-,-,-,-,-,0.58,41.7,32.5,1690,-,-,-
9,Astralis,S12,EUW,5,0.0%,0.67,1650,-284,34:48,10.6,15.6,2.8,9.6,60.0,-,1.60,32.3,0.20,10.0,0.60,-0.8,-2171,0.40,26.7,30.8,1832,3.4,1.64,1.37
