,name,season,region,games,win rate,k:d,gold per min,gold diff per min,game duration,kill per game,deaths per game,towers killed,towers lost,first blood rate,first tower rate,dragons per game,dragons %,heralds per game,herald %,avg dragons 15min,tower diff 15min,gold diff 15min,nashor per game,nashor %,cs per min,dmg per min,wards per min,vision wards per min,wards cleared per min
10,Astralis Talent,S12,EUW,5,40.0%,1.08,1719,48,35:51,12.8,11.8,7.0,5.4,20.0,60.0,2.60,52.0,1.20,60.0,0.80,0.2,125,0.80,60.0,30.7,2244,3.0,1.14,1.45
11,Atleta Esport,S12,IT,2,0.0%,0.69,1654,-131,39:49,13.0,18.0,5.0,8.0,50.0,50.0,2.50,41.7,1.50,75.0,1.50,0.0,179,0.50,50.0,30.6,1763,3.2,1.07,1.14
12,Atletec,S12,FR,3,100.0%,1.77,1927,303,32:04,17.7,10.0,9.0,3.0,66.7,33.3,2.00,38.9,1.00,50.0,1.00,0.0,800,1.33,100.0,32.4,2382,3.4,1.44,1.19
13,Auxesis Esports,S12,RS,3,33.3%,0.75,1680,-164,38:07,15.0,20.0,5.7,7.0,-,33.3,2.00,33.3,1.33,66.7,0.00,-0.7,-1049,0.67,33.3,29.7,2060,2.7,0.92,1.11
14,Axolotl,S12,IT,2,0.0%,0.36,1596,-235,30:37,4.5,12.5,3.0,10.0,50.0,-,1.50,32.5,1.00,50.0,1.00,-0.5,-115,0.00,0.0,32.0,1553,3.1,1.31,1.40
15,Barça eSports,S12,ES,5,60.0%,0.90,1759,-19,29:46,11.0,12.2,7.0,5.0,80.0,20.0,1.60,35.7,0.80,40.0,1.00,-0.2,-395,0.60,50.0,32.6,1738,2.7,1.20,1.35
16,beGenius ESC,S12,FR,3,0.0%,0.20,1421,-531,27:22,3.0,15.3,0.0,9.7,33.3,-,1.67,47.2,0.00,0.0,1.00,-1.0,-3216,0.00,0.0,30.2,1203,2.4,1.07,1.06
17,Berlin International Gaming,S12,DE,5,20.0%,0.65,1651,-183,33:25,11.0,17.0,4.6,8.2,20.0,60.0,1.80,39.0,0.60,40.0,0.40,-0.4,-1230,0.40,20.0,29.9,1800,3.0,1.26,1.29
18,Besiktas Academy,S12,TR,2,0.0%,0.22,1479,-560,26:15,4.0,18.5,0.5,10.0,-,-,0.00,0.0,1.00,50.0,0.00,-1.5,-3830,0.00,0.0,29.6,1417,2.6,1.31,0.84
19,Besiktas Esports,S12,TR,2,50.0%,1.20,1794,-110,33:02,18.0,15.0,5.0,8.0,-,-,3.00,54.2,0.50,25.0,1.00,-1.0,-2306,1.50,83.3,31.1,1770,3.0,1.27,1.17
20,Bifrost,S12,EUW,5,80.0%,1.76,1892,231,32:04,17.2,9.8,7.8,4.4,20.0,40.0,2.60,52.7,1.40,70.0,0.40,0.2,862,0.80,70.0,31.8,2107,3.1,1.32,1.27
21,Bilibili Gaming,S12,CN,8,75.0%,1.52,1867,137,32:39,16.0,10.4,7.5,4.5,75.0,62.5,2.13,44.2,-,-,-,-,-,1.13,70.8,32.5,1979,-,-,-
22,BISONS ECLUB,S12,ES,5,40.0%,0.89,1736,-18,33:59,11.8,13.2,6.2,6.4,20.0,40.0,2.20,48.6,0.20,10.0,0.60,0.0,-1377,0.60,60.0,32.1,2133,3.3,1.34,1.50
23,BK ROG Esports,S12,FR,3,33.3%,1.05,1787,68,34:51,14.7,14.0,6.7,5.7,33.3,100.0,2.67,52.4,1.67,83.3,0.33,0.7,787,0.67,44.4,32.2,2318,3.3,1.13,1.78
24,Boavista FC,S12,PT,3,0.0%,0.38,1542,-313,29:00,6.0,16.0,2.0,8.0,33.3,33.3,2.00,48.3,0.67,33.3,1.67,-1.0,-1837,0.00,0.0,30.4,1400,2.8,1.24,0.96
25,BRO Challengers,S12,KR,9,22.2%,0.71,1725,-149,33:43,11.8,16.7,5.4,7.7,44.4,55.6,2.22,42.5,1.33,66.7,1.00,-0.2,-353,0.56,47.9,31.5,1825,2.6,1.20,1.52
26,BRUTE,S12,CZ,3,33.3%,0.61,1634,-172,27:31,7.7,12.7,4.3,5.7,33.3,33.3,2.33,53.3,1.00,50.0,1.67,-0.7,-1713,0.00,0.0,31.8,1574,2.7,1.10,1.02
27,Chief Esports Club,S12,OCE,1,100.0%,1.09,1881,292,40:01,12.0,11.0,10.0,3.0,-,100.0,2.00,33.3,1.00,50.0,0.00,2.0,2018,2.00,100.0,32.7,2165,3.3,1.40,2.00
28,CLG,S12,NA,7,42.9%,0.67,1742,-118,30:15,9.7,14.6,5.3,6.3,42.9,14.3,1.71,49.5,0.43,21.4,0.71,-0.4,-1482,0.57,42.9,31.9,1617,3.2,1.32,1.30
29,CLG Academy,S12,NA,4,75.0%,1.71,1957,258,31:03,19.3,11.3,8.0,4.8,75.0,100.0,2.25,56.7,1.50,75.0,0.75,1.3,3488,0.75,62.5,32.3,2516,2.9,1.20,1.24
30,Cloud9,S12,NA,7,71.4%,1.41,1853,110,32:20,14.7,10.4,7.0,4.9,57.1,42.9,3.14,75.2,1.00,57.1,1.14,-0.1,485,0.71,71.4,33.7,2025,3.0,0.98,1.41
31,Cloud9 Academy,S12,NA,4,25.0%,0.50,1686,-275,29:51,9.0,18.0,4.3,7.3,-,-,1.50,37.5,0.25,12.5,0.50,-1.3,-4008,0.25,25.0,31.7,1543,2.6,0.71,1.37
32,Crvena zvezda Esports,S12,RS,3,100.0%,2.64,1949,363,32:29,19.3,7.3,8.3,3.3,100.0,100.0,3.67,80.6,1.67,83.3,2.00,1.0,3345,1.00,83.3,32.7,2072,2.8,1.13,1.27
33,Cryptova,S12,CZ,3,33.3%,0.88,1640,-271,31:22,17.0,19.3,5.3,6.3,33.3,66.7,2.33,56.0,1.00,50.0,0.67,-1.0,-2667,0.67,50.0,26.4,2079,2.9,1.07,0.96
34,Cyber Wolves,S12,RS,3,33.3%,0.89,1750,43,34:54,14.3,15.7,7.0,5.7,66.7,100.0,2.33,44.4,1.33,66.7,1.00,0.3,717,1.00,66.7,29.6,2134,3.1,1.19,0.91
35,Cyberground Gaming,S12,IT,2,100.0%,3.42,1899,248,35:45,20.5,6.0,9.5,3.5,100.0,50.0,3.00,60.0,1.50,100.0,1.00,0.0,2878,0.50,50.0,33.6,2490,3.2,1.30,1.36
36,Dark Passage,S12,TR,2,100.0%,1.96,1819,202,38:52,23.5,12.0,8.0,3.5,50.0,50.0,4.50,75.0,1.00,50.0,1.50,0.0,-383,1.50,75.0,28.1,2208,3.2,1.29,1.15
37,Dark Passage Academy,S12,TR,2,50.0%,1.47,1820,157,32:02,12.5,8.5,7.5,5.5,50.0,50.0,3.00,60.0,1.50,75.0,1.50,0.5,428,1.00,100.0,31.8,1763,2.6,0.93,1.18
38,Dark Tigers,S12,CZ,3,33.3%,0.80,1731,-180,29:44,12.3,15.3,4.0,7.3,33.3,-,1.67,38.3,0.67,33.3,0.67,-0.7,-1577,0.33,33.3,32.4,1844,2.8,1.04,1.11
39,devils.one,S12,PL,4,0.0%,0.37,1527,-376,32:54,6.8,18.3,2.5,9.8,25.0,50.0,2.25,48.8,1.00,50.0,1.25,0.0,264,0.00,0.0,28.9,1788,2.7,1.02,0.93
40,Diamant Esports,S12,RS,3,33.3%,0.89,1724,-99,30:39,11.0,12.3,4.3,7.0,33.3,-,3.00,61.7,0.67,33.3,0.67,-0.7,-1399,0.67,50.0,31.0,1588,2.4,0.81,1.08
41,Dignitas,S12,NA,6,50.0%,0.96,1688,-115,31:46,10.8,11.3,4.8,6.7,33.3,50.0,2.33,51.7,0.67,33.3,1.17,-0.2,-650,0.50,50.0,31.0,1835,3.1,1.30,1.52
42,Dignitas Academy,S12,NA,4,50.0%,1.05,1839,36,30:00,15.0,14.3,6.8,5.8,75.0,75.0,2.50,58.3,1.50,75.0,1.25,0.3,1428,0.75,62.5,31.2,2000,2.8,1.36,1.23
43,Dire Wolves,S12,OCE,1,100.0%,4.00,2057,558,30:54,24.0,6.0,11.0,1.0,-,100.0,2.00,50.0,2.00,100.0,0.00,1.0,5488,2.00,100.0,31.7,2038,2.9,1.17,1.62
44,DK Challengers,S12,KR,9,66.7%,1.43,1873,90,32:44,14.3,10.0,7.0,4.8,77.8,66.7,2.78,54.3,0.56,27.8,1.00,0.2,1481,0.78,57.4,34.7,1685,3.3,1.47,1.64
45,DRX,S12,KR,8,25.0%,0.55,1648,-252,34:04,8.0,14.5,4.0,8.3,37.5,50.0,1.13,21.8,0.88,43.8,0.38,-0.3,-1284,0.25,14.3,32.3,1749,3.3,1.58,1.88
46,DRX Challengers,S12,KR,9,88.9%,1.79,1932,275,34:41,16.9,9.3,8.7,3.7,33.3,33.3,3.33,67.4,1.22,61.1,1.00,0.1,924,1.22,87.0,34.7,1964,3.1,1.35,1.77
47,Dusty,S12,EUW,5,40.0%,0.73,1652,-155,30:01,9.8,13.4,4.6,6.0,40.0,60.0,2.60,56.0,1.00,50.0,1.40,0.0,-559,0.40,50.0,30.8,1905,2.7,1.11,1.24
48,DWG KIA,S12,KR,10,60.0%,0.99,1770,51,36:32,12.3,12.4,6.7,5.6,50.0,50.0,3.00,51.0,1.20,60.0,0.90,0.3,196,0.70,48.3,31.7,1682,3.6,1.59,1.56
49,Dynamo Eclot,S12,CZ,3,66.7%,1.10,1791,81,33:13,18.0,16.3,6.7,6.7,66.7,66.7,3.00,60.7,0.33,16.7,1.33,0.7,1425,0.67,75.0,29.2,2205,2.8,1.32,1.25
50,E WIE EINFACH E-SPORTS,S12,DE,5,60.0%,1.07,1786,-45,29:41,14.4,13.4,6.2,6.4,80.0,20.0,3.00,69.0,1.00,50.0,1.80,-0.4,-808,0.60,60.0,29.8,2006,3.1,1.01,1.16
51,Edward Gaming,S12,CN,9,88.9%,2.04,1977,348,29:07,17.2,8.4,8.9,2.2,44.4,88.9,3.00,75.2,-,-,-,-,-,1.00,88.9,33.1,2166,-,-,-
52,EGN Esports,S12,PT,3,66.7%,1.65,1865,211,30:07,17.0,10.3,7.7,4.0,33.3,66.7,3.33,80.0,1.67,83.3,1.67,0.7,564,0.67,75.0,31.3,2146,3.5,1.38,1.55
53,Eintracht Spandau,S12,DE,5,20.0%,0.65,1723,-170,31:41,12.0,18.6,4.2,8.2,40.0,80.0,1.80,36.7,1.20,60.0,1.00,1.0,199,0.20,25.0,30.9,2056,3.0,1.37,1.24
54,Entropiq,S12,CZ,3,100.0%,3.58,2045,513,28:40,14.3,4.0,9.7,2.0,33.3,100.0,2.67,68.3,1.67,83.3,1.00,1.7,4295,1.00,100.0,35.6,2073,2.7,1.06,1.07
55,Esport Empire,S12,IT,2,100.0%,3.67,1881,260,35:53,16.5,4.5,9.5,4.0,100.0,50.0,3.50,63.3,0.50,25.0,0.50,0.5,284,1.50,100.0,33.5,1730,3.1,1.16,1.59
56,eSuba,S12,CZ,3,100.0%,1.84,1998,376,30:21,19.7,10.7,9.0,1.7,66.7,100.0,2.67,58.3,2.00,100.0,0.33,1.7,3962,1.00,83.3,33.8,2182,3.2,1.48,1.21
57,Evil Geniuses,S12,NA,6,100.0%,2.35,2020,455,30:27,19.2,8.0,10.0,2.3,66.7,66.7,3.33,83.3,1.50,75.0,1.50,0.7,2886,1.00,91.7,34.2,2313,3.2,1.19,1.52
58,Evil Geniuses Academy,S12,NA,4,25.0%,0.89,1673,-183,33:21,12.0,13.5,4.3,7.5,25.0,25.0,1.75,37.9,0.25,12.5,0.75,-0.8,-2136,0.50,27.8,30.5,2069,3.0,1.00,1.09
59,Excel Esports,S12,EUW,5,40.0%,0.89,1729,-72,37:15,12.6,14.2,6.8,7.0,80.0,60.0,2.80,50.7,0.80,40.0,0.80,-0.2,759,0.80,50.0,31.4,2008,3.4,1.52,1.42
60,FC Nantes,S12,FR,3,0.0%,0.35,1559,-416,29:52,6.3,18.3,1.0,9.7,-,-,1.00,25.0,0.67,33.3,0.33,-0.7,-2109,0.00,0.0,31.5,1739,2.8,1.14,1.43
61,FC Schalke 04 Evolution,S12,DE,5,80.0%,1.33,1874,120,32:09,15.2,11.4,7.6,4.2,80.0,60.0,2.80,73.7,1.00,50.0,0.20,-0.2,138,1.00,80.0,34.3,1834,3.1,1.18,1.74
62,Fenerbahçe Academy,S12,TR,2,50.0%,1.41,1862,212,29:45,15.5,11.0,6.5,3.5,100.0,50.0,2.50,70.0,2.00,100.0,1.00,1.0,2430,1.00,75.0,32.3,1693,3.1,1.47,1.20
63,Flamengo eSports,S12,BR,2,0.0%,0.44,1672,-275,34:47,9.0,20.5,2.5,9.0,100.0,-,1.50,32.5,1.00,50.0,0.50,-0.5,-353,0.50,25.0,33.5,1558,3.3,1.59,1.38
64,FlyQuest,S12,NA,6,33.3%,0.70,1690,-155,34:57,9.2,13.2,5.2,7.5,50.0,50.0,1.33,25.5,1.33,66.7,0.50,-0.3,-1004,0.50,33.3,32.5,1542,3.4,1.45,1.38
65,FlyQuest Academy,S12,NA,4,0.0%,0.57,1627,-341,31:08,11.0,19.3,2.0,9.5,-,75.0,1.00,25.0,1.25,62.5,0.50,0.3,-526,0.00,0.0,30.5,1955,2.8,1.32,1.07
66,Fnatic,S12,EUW,5,100.0%,1.70,1899,229,33:27,15.6,9.2,8.4,3.4,40.0,60.0,3.20,71.3,0.80,40.0,1.00,0.4,850,1.20,90.0,33.4,2354,3.4,1.20,1.48
67,Fnatic TQ,S12,ES,5,100.0%,2.25,2009,431,30:21,19.8,8.8,9.8,1.8,80.0,100.0,2.60,62.7,1.40,70.0,1.00,0.2,2982,1.20,100.0,32.5,2348,3.7,1.49,1.17
68,For The Win Esports,S12,PT,3,100.0%,1.57,1990,349,31:13,18.3,11.7,10.0,2.7,33.3,66.7,2.67,56.7,1.33,66.7,1.00,1.0,3282,1.00,83.3,32.5,2049,3.1,1.09,1.42
69,Forsaken,S12,PL,4,50.0%,0.70,1723,-143,29:18,10.8,15.0,5.3,6.0,50.0,25.0,1.75,41.3,0.50,25.0,0.25,-0.8,-1386,0.25,33.3,32.3,1958,3.3,0.97,1.15
70,Fredit BRION,S12,KR,10,30.0%,0.77,1727,-76,37:11,8.8,11.5,5.8,7.3,30.0,20.0,2.80,52.9,0.70,35.0,0.90,-0.3,-1005,0.90,56.7,33.4,1495,3.8,1.67,1.85
71,Funplus Phoenix,S12,CN,10,70.0%,1.04,1890,138,31:39,12.8,12.3,7.8,5.1,20.0,50.0,2.40,55.5,-,-,-,-,-,0.80,55.0,34.3,1931,-,-,-
72,FURIA Esports,S12,BR,2,50.0%,1.23,1771,3,36:10,18.5,15.0,5.5,6.0,50.0,50.0,2.50,50.0,0.50,25.0,1.00,0.0,-212,1.00,50.0,30.6,1885,3.6,1.61,1.89
73,G2 Arctic,S12,ES,5,60.0%,1.13,1848,123,35:43,19.0,16.8,7.6,5.4,60.0,60.0,3.60,73.3,0.80,50.0,1.00,-0.2,621,0.80,50.0,31.1,2438,3.2,1.30,1.54
74,G2 Esports,S12,EUW,5,60.0%,1.06,1786,12,33:03,13.2,12.4,6.4,5.8,40.0,60.0,2.80,55.3,1.40,70.0,0.80,0.4,220,0.80,50.0,32.5,1900,3.7,1.29,1.52
75,Galakticos,S12,TR,2,0.0%,0.42,1629,-393,26:07,8.0,19.0,1.5,10.0,100.0,50.0,0.50,12.5,1.00,50.0,0.50,0.0,-800,0.00,0.0,31.1,1712,2.4,0.92,0.89
76,Galakticos Academy,S12,TR,2,50.0%,1.06,1706,-28,31:18,9.0,8.5,6.5,5.0,50.0,100.0,2.00,42.5,2.00,100.0,0.50,0.5,1784,1.00,50.0,31.1,1539,2.6,1.03,1.10
77,Galatasaray Academy,S12,TR,2,50.0%,1.20,1727,-72,35:37,12.0,10.0,6.0,9.0,100.0,-,2.00,28.6,0.00,0.0,0.00,-0.5,-312,1.00,33.3,31.5,1413,3.1,1.42,1.46
78,Galatasaray Esports,S12,TR,2,50.0%,0.73,1776,25,32:48,11.0,15.0,5.5,5.5,100.0,100.0,1.50,33.3,1.00,50.0,0.50,0.5,1828,1.00,50.0,32.3,1596,2.9,1.27,1.75
79,GamerLegion,S12,DE,5,100.0%,2.97,1904,313,31:37,17.8,5.8,8.8,2.6,80.0,40.0,3.00,71.0,0.40,20.0,1.40,0.0,705,1.00,87.5,32.6,2236,3.1,1.25,1.37
80,Gamers Origin,S12,FR,4,25.0%,0.92,1710,-131,38:15,15.3,16.5,6.0,8.3,75.0,75.0,3.00,53.3,1.25,62.5,0.75,0.5,182,0.75,41.7,30.1,1926,3.7,1.55,1.63
81,Gamespace Mediterranean College Esports,S12,GR,2,0.0%,0.48,1691,-316,30:12,10.5,22.0,3.0,10.0,50.0,50.0,1.50,30.0,0.50,25.0,1.00,-1.0,-3302,0.50,50.0,28.0,1638,2.7,0.96,0.72
82,GameWard,S12,FR,4,25.0%,0.52,1643,-266,32:24,9.3,17.8,4.3,8.0,25.0,-,1.50,26.8,0.75,37.5,0.00,-1.0,-2132,0.50,16.7,31.4,2065,3.4,1.34,1.28
83,Gen.G Challengers,S12,KR,9,33.3%,0.55,1721,-166,32:41,8.4,15.3,4.1,7.6,55.6,44.4,1.78,35.2,1.11,55.6,0.56,-0.1,-919,0.56,31.5,33.9,1715,3.2,1.38,1.49
84,Gen.G eSports,S12,KR,10,80.0%,1.47,1894,223,34:37,16.2,11.0,8.3,4.0,50.0,60.0,2.80,61.9,0.70,35.0,1.00,0.4,1274,1.10,71.7,33.6,2151,3.5,1.45,1.85
85,Gentlemens Gaming,S12,PL,4,25.0%,0.64,1687,-188,35:25,13.3,20.8,4.8,8.5,75.0,25.0,1.50,29.2,0.75,37.5,1.00,-1.0,-1470,0.50,20.8,29.1,1831,3.1,1.12,1.28
86,GG&Esports,S12,IT,2,100.0%,1.38,1831,256,39:18,16.5,12.0,9.5,5.5,-,-,4.00,68.6,0.50,25.0,1.50,0.0,-1003,1.50,83.3,32.6,1902,3.0,1.24,1.52
87,Giants,S12,ES,5,20.0%,0.48,1618,-295,32:38,9.0,18.8,3.0,8.8,60.0,40.0,1.80,37.7,1.00,50.0,0.80,0.2,-1019,0.40,20.0,30.4,1820,3.3,1.35,1.44
88,Golden Guardians,S12,NA,6,16.7%,0.55,1648,-237,31:03,8.7,15.7,3.0,8.3,66.7,33.3,1.33,33.3,0.33,16.7,0.33,-0.3,-1049,0.17,16.7,31.9,1739,3.0,1.23,1.12
89,Golden Guardians Academy,S12,NA,4,75.0%,1.37,1919,188,30:44,15.8,11.5,8.5,4.8,50.0,25.0,3.25,81.7,0.50,25.0,1.25,-0.3,-607,0.75,62.5,33.9,2012,2.8,1.09,1.26
90,Goskilla,S12,PL,4,25.0%,0.87,1712,-85,33:29,12.0,13.8,5.0,8.5,50.0,50.0,2.25,42.6,1.00,50.0,0.50,0.3,-12,1.00,54.2,28.9,1756,3.7,1.42,1.39
91,Gravitas,S12,OCE,1,0.0%,0.25,1499,-558,30:54,6.0,24.0,1.0,11.0,100.0,-,2.00,50.0,0.00,0.0,2.00,-1.0,-5488,0.00,0.0,28.7,1286,2.8,1.36,1.23
92,GTZ Bulls,S12,PT,3,0.0%,0.48,1575,-396,28:06,8.7,18.0,2.3,10.0,66.7,-,1.33,33.3,0.67,33.3,0.67,-1.0,-2810,0.00,0.0,28.0,1623,2.9,1.11,1.08
93,Hanwha Life eSports,S12,KR,11,36.4%,0.89,1695,-99,35:11,10.3,11.5,4.5,7.5,36.4,54.5,1.73,36.2,1.27,63.6,0.45,0.0,32,0.45,36.4,32.5,1678,3.4,1.63,1.84
94,Hive Athens EC,S12,GR,2,50.0%,1.50,1839,135,34:16,21.0,14.0,6.5,4.5,50.0,50.0,4.00,83.3,1.00,50.0,1.00,0.0,928,0.00,0.0,30.3,2846,2.6,0.94,1.46
95,HLE Challengers,S12,KR,9,44.4%,0.88,1720,-66,32:01,9.3,10.3,4.4,6.3,44.4,33.3,2.78,61.9,0.44,22.2,1.22,-0.3,-999,0.56,44.4,33.4,1495,3.3,1.45,1.52
96,Illuminar Gaming,S12,PL,4,50.0%,1.40,1776,103,35:08,14.8,10.5,7.3,6.3,50.0,50.0,1.75,36.3,0.75,37.5,0.50,0.0,99,0.75,75.0,31.8,2072,3.2,1.41,1.31
97,Immortals,S12,NA,4,0.0%,0.58,1591,-345,31:04,9.3,16.0,2.3,9.3,25.0,50.0,0.75,12.5,0.50,25.0,0.00,-0.5,-2575,0.00,0.0,30.5,1436,3.3,1.33,1.42
98,Immortals Academy,S12,NA,4,100.0%,2.09,1931,336,31:50,17.8,8.3,9.3,1.5,100.0,75.0,3.75,72.1,1.25,62.5,1.50,0.3,2014,1.00,100.0,33.3,2331,2.7,1.11,1.48
99,Inside Games,S12,CZ,3,0.0%,0.58,1586,-288,32:06,11.0,19.0,2.7,9.0,66.7,33.3,1.67,35.0,0.00,0.0,1.00,-0.7,-1960,0.00,0.0,29.1,1836,2.6,1.13,1.11
100,INTZ e-Sports,S12,BR,2,0.0%,0.61,1649,-213,36:07,11.0,18.0,6.0,8.5,50.0,100.0,1.50,29.2,1.00,50.0,0.00,0.0,52,1.00,33.3,30.5,2189,3.4,1.43,1.28
101,Invictus Gaming,S12,CN,8,25.0%,0.62,1701,-201,31:12,8.0,12.9,4.1,7.6,50.0,37.5,2.50,53.5,-,-,-,-,-,0.50,37.5,33.2,1609,-,-,-
102,Ion Squad,S12,BE,3,100.0%,3.13,1902,318,29:57,15.7,5.0,8.3,2.0,66.7,100.0,3.00,71.1,1.33,66.7,0.67,0.3,1149,0.33,50.0,34.6,1827,2.8,0.88,1.52
103,Iron Wolves,S12,PL,4,25.0%,0.77,1752,-125,34:54,14.3,18.5,5.8,7.0,50.0,100.0,3.00,60.0,1.75,87.5,1.50,0.8,1677,0.50,22.2,32.4,2276,2.9,1.13,1.38
104,Istanbul Wildcats,S12,TR,2,50.0%,0.87,1772,65,35:46,16.5,19.0,7.0,4.0,-,-,2.00,45.8,1.00,50.0,0.50,-0.5,-1628,1.00,75.0,29.0,2639,2.7,1.29,1.54
105,Istanbul Wildcats Academy,S12,TR,2,100.0%,1.63,1802,157,31:25,13.0,8.0,8.0,4.5,50.0,50.0,3.50,77.5,0.50,25.0,1.00,-0.5,403,0.50,50.0,32.7,1840,3.0,1.27,0.97
106,IZI Dream,S12,FR,3,100.0%,1.77,1888,299,32:20,17.7,10.0,8.7,2.7,66.7,66.7,3.33,81.0,0.67,33.3,2.00,0.7,1063,1.00,83.3,31.7,2338,3.3,1.50,1.31
107,JD Gaming,S12,CN,10,50.0%,0.93,1768,-92,32:50,13.8,14.9,5.8,6.7,40.0,20.0,2.20,44.2,-,-,-,-,-,0.80,40.0,31.5,1882,-,-,-
108,JD|XL,S12,EUW,5,80.0%,1.85,1981,276,31:58,19.6,10.6,8.8,4.4,60.0,80.0,2.80,56.7,1.20,60.0,0.80,0.4,1445,1.00,80.0,33.7,2427,2.9,1.16,1.29
109,Joblife,S12,FR,3,66.7%,1.29,1864,212,35:41,19.3,15.0,7.7,4.7,100.0,100.0,2.33,50.0,2.00,100.0,0.33,1.0,2742,1.00,66.7,31.1,2396,3.5,1.30,1.58
110,KaBuM! e-Sports,S12,BR,1,100.0%,1.88,1932,412,26:27,15.0,7.0,8.0,1.0,-,-,3.00,75.0,1.00,50.0,2.00,0.0,746,1.00,100.0,34.2,2494,3.2,1.40,1.32
111,Kanga Esports,S12,OCE,1,0.0%,0.58,1656,-362,27:12,11.0,19.0,1.0,10.0,-,-,1.00,25.0,1.00,50.0,0.00,0.0,-1615,0.00,0.0,29.9,1880,2.1,1.21,1.03
112,Karma Clan Esports,S12,PT,3,33.3%,0.56,1614,-253,29:42,9.0,16.0,3.3,7.7,66.7,33.3,1.00,23.3,0.33,16.7,0.33,0.0,-31,0.33,33.3,30.8,1488,3.0,1.36,1.17
113,Karmine Corp,S12,FR,4,50.0%,1.44,1830,162,36:59,18.0,12.5,7.5,4.5,50.0,50.0,3.00,56.7,0.75,37.5,1.25,0.0,764,1.50,75.0,31.5,2087,3.3,1.25,1.65
114,KDF Challengers,S12,KR,9,44.4%,1.00,1771,-18,36:08,14.9,14.8,6.2,6.3,44.4,77.8,2.67,45.8,1.00,50.0,1.00,0.3,258,1.00,54.2,31.1,2009,3.2,1.49,1.52
115,KOI,S12,ES,5,60.0%,1.53,1909,213,29:22,15.8,10.2,8.0,4.8,40.0,40.0,2.00,53.3,1.60,80.0,0.80,0.2,1476,0.80,75.0,32.6,2154,3.2,1.26,1.34
116,Komil & Friends,S12,PL,4,50.0%,0.64,1660,-286,33:24,11.8,18.5,5.8,8.0,-,50.0,2.50,44.0,1.25,62.5,1.25,0.0,-1818,0.75,25.0,29.6,1829,3.4,1.28,1.16
117,KRC Genk Esports,S12,BE,3,66.7%,0.98,1767,44,38:26,14.7,14.7,7.0,6.0,33.3,66.7,2.67,45.1,1.67,83.3,0.33,0.7,-666,1.00,50.0,31.3,2037,3.2,1.23,1.37
118,KT Challengers,S12,KR,9,44.4%,1.07,1763,-2,30:48,12.8,11.9,5.8,5.3,55.6,66.7,2.22,50.0,1.00,50.0,0.78,0.1,802,0.33,42.9,32.5,2007,3.5,1.75,1.49
119,KT Rolster,S12,KR,9,55.6%,1.09,1777,10,33:25,11.7,10.7,6.0,5.8,55.6,55.6,2.56,54.3,1.00,55.6,1.11,-0.4,-676,0.78,50.0,33.5,1654,3.6,1.56,1.93
