Name	Season	Region	Games	Win rate	K:D	GPM	GDM	Game duration	Kills / game	Deaths / game	Towers killed	Towers lost	FB%	FT%	DRAPG	DRA%	HERPG	HER%	DRA@15	TD@15	GD@15	NASHPG	NASH%	CSM	DPM	WPM	VWPM	WCPM
Illuminar Gaming	S12	PL	4	50.0%	1.40	1776	103	35:08	14.8	10.5	7.3	6.3	50.0	50.0	1.75	36.3	0.75	37.5	0.50	0.0	99	0.75	75.0	31.8	2072	3.2	1.41	1.31
Immortals	S12	NA	4	0.0%	0.58	1591	-345	31:04	9.3	16.0	2.3	9.3	25.0	50.0	0.75	12.5	0.50	25.0	0.00	-0.5	-2575	0.00	0.0	30.5	1436	3.3	1.33	1.42
Immortals Academy	S12	NA	4	100.0%	2.09	1931	336	31:50	17.8	8.3	9.3	1.5	100.0	75.0	3.75	72.1	1.25	62.5	1.50	0.3	2014	1.00	100.0	33.3	2331	2.7	1.11	1.48
Inside Games	S12	CZ	3	0.0%	0.58	1586	-288	32:06	11.0	19.0	2.7	9.0	66.7	33.3	1.67	35.0	0.00	0.0	1.00	-0.7	-1960	0.00	0.0	29.1	1836	2.6	1.13	1.11
INTZ e-Sports	S12	BR	2	0.0%	0.61	1649	-213	36:07	11.0	18.0	6.0	8.5	50.0	100.0	1.50	29.2	1.00	50.0	0.00	0.0	52	1.00	33.3	30.5	2189	3.4	1.43	1.28
Invictus Gaming	S12	CN	19	47.4%	0.93	1813	-31	31:43	12.4	13.4	6.2	6.7	47.4	26.3	2.74	61.3	-	-	-	-	0	0.74	50.0	33.6	1879	-	-	-
Ion Squad	S12	BE	3	100.0%	3.13	1902	318	29:57	15.7	5.0	8.3	2.0	66.7	100.0	3.00	71.1	1.33	66.7	0.67	0.3	1149	0.33	50.0	34.6	1827	2.8	0.88	1.52
Iron Wolves	S12	PL	4	25.0%	0.77	1752	-125	34:54	14.3	18.5	5.8	7.0	50.0	100.0	3.00	60.0	1.75	87.5	1.50	0.8	1677	0.50	22.2	32.4	2276	2.9	1.13	1.38
Istanbul Wildcats	S12	TR	2	50.0%	0.87	1772	65	35:46	16.5	19.0	7.0	4.0	-	-	2.00	45.8	1.00	50.0	0.50	-0.5	-1628	1.00	75.0	29.0	2639	2.7	1.29	1.54
Istanbul Wildcats Academy	S12	TR	2	100.0%	1.63	1802	157	31:25	13.0	8.0	8.0	4.5	50.0	50.0	3.50	77.5	0.50	25.0	1.00	-0.5	403	0.50	50.0	32.7	1840	3.0	1.27	0.97
IZI Dream	S12	FR	3	100.0%	1.77	1888	299	32:20	17.7	10.0	8.7	2.7	66.7	66.7	3.33	81.0	0.67	33.3	2.00	0.7	1063	1.00	83.3	31.7	2338	3.3	1.50	1.31
JD Gaming	S12	CN	14	35.7%	0.74	1715	-162	32:13	11.9	16.1	4.9	7.3	35.7	28.6	1.57	31.5	-	-	-	-	-	0.57	28.6	31.0	1785	-	-	-
JD|XL	S12	EUW	5	80.0%	1.85	1981	276	31:58	19.6	10.6	8.8	4.4	60.0	80.0	2.80	56.7	1.20	60.0	0.80	0.4	1445	1.00	80.0	33.7	2427	2.9	1.16	1.29
Joblife	S12	FR	3	66.7%	1.29	1864	212	35:41	19.3	15.0	7.7	4.7	100.0	100.0	2.33	50.0	2.00	100.0	0.33	1.0	2742	1.00	66.7	31.1	2396	3.5	1.30	1.58
KaBuM! e-Sports	S12	BR	1	100.0%	1.88	1932	412	26:27	15.0	7.0	8.0	1.0	-	-	3.00	75.0	1.00	50.0	2.00	0.0	746	1.00	100.0	34.2	2494	3.2	1.40	1.32
Kanga Esports	S12	OCE	1	0.0%	0.58	1656	-362	27:12	11.0	19.0	1.0	10.0	-	-	1.00	25.0	1.00	50.0	0.00	0.0	-1615	0.00	0.0	29.9	1880	2.1	1.21	1.03
Karma Clan Esports	S12	PT	3	33.3%	0.56	1614	-253	29:42	9.0	16.0	3.3	7.7	66.7	33.3	1.00	23.3	0.33	16.7	0.33	0.0	-31	0.33	33.3	30.8	1488	3.0	1.36	1.17
Karmine Corp	S12	FR	4	50.0%	1.44	1830	162	36:59	18.0	12.5	7.5	4.5	50.0	50.0	3.00	56.7	0.75	37.5	1.25	0.0	764	1.50	75.0	31.5	2087	3.3	1.25	1.65
KDF Challengers	S12	KR	12	41.7%	0.95	1740	-40	35:19	13.6	14.2	6.1	6.4	50.0	66.7	2.33	41.0	1.08	54.2	0.83	0.3	125	0.92	48.5	30.7	1949	3.3	1.48	1.43
KOI	S12	ES	5	60.0%	1.53	1909	213	29:22	15.8	10.2	8.0	4.8	40.0	40.0	2.00	53.3	1.60	80.0	0.80	0.2	1476	0.80	75.0	32.6	2154	3.2	1.26	1.34
Komil & Friends	S12	PL	4	50.0%	0.64	1660	-286	33:24	11.8	18.5	5.8	8.0	-	50.0	2.50	44.0	1.25	62.5	1.25	0.0	-1818	0.75	25.0	29.6	1829	3.4	1.28	1.16
KRC Genk Esports	S12	BE	3	66.7%	0.98	1767	44	38:26	14.7	14.7	7.0	6.0	33.3	66.7	2.67	45.1	1.67	83.3	0.33	0.7	-666	1.00	50.0	31.3	2037	3.2	1.23	1.37
KT Challengers	S12	KR	12	41.7%	1.00	1735	-42	31:12	12.3	12.3	5.5	6.0	50.0	66.7	2.25	51.9	0.92	45.8	0.83	0.2	776	0.42	40.0	32.1	1946	3.6	1.75	1.46
KT Rolster	S12	KR	9	55.6%	1.09	1777	10	33:25	11.7	10.7	6.0	5.8	55.6	55.6	2.56	54.3	1.00	55.6	1.11	-0.4	-676	0.78	50.0	33.5	1654	3.6	1.56	1.93
KV Mechelen Esports	S12	BE	3	33.3%	0.85	1705	17	37:55	11.0	13.0	4.7	8.0	66.7	33.3	2.33	51.1	0.33	16.7	1.00	-0.3	-727	1.00	77.8	31.5	1691	3.7	1.43	1.72
Kwangdong Freecs	S12	KR	8	25.0%	0.71	1655	-143	35:35	8.4	11.8	5.3	7.0	37.5	62.5	1.38	29.8	1.00	50.0	0.38	0.0	424	0.38	35.7	31.3	1909	4.1	1.82	1.66
LDLC OL	S12	FR	4	100.0%	1.24	1900	245	37:24	16.8	13.5	10.3	4.0	50.0	50.0	3.50	68.2	1.00	50.0	1.00	0.5	216	1.75	91.7	32.5	2366	3.7	1.43	1.63
