Name	Season	Region	Games	Win rate	K:D	GPM	GDM	Game duration	Kills / game	Deaths / game	Towers killed	Towers lost	FB%	FT%	DRAPG	DRA%	HERPG	HER%	DRA@15	TD@15	GD@15	NASHPG	NASH%	CSM	DPM	WPM	VWPM	WCPM
Team Phantasma	S12	GR	2	100.0%	2.48	1992	254	32:16	26.0	10.5	9.5	2.5	100.0	100.0	3.00	60.0	2.00	100.0	1.00	2.0	4695	1.00	50.0	31.5	2630	2.9	1.13	1.29
Team Pinnacle	S12	CN	4	25.0%	0.75	1663	-217	30:54	10.0	13.0	4.0	7.8	50.0	25.0	1.50	32.5	-	-	-	-	-	0.50	33.3	30.8	1364	-	-	-
Team Refuse	S12	GR	2	50.0%	1.04	1783	53	34:15	14.5	14.0	5.0	5.5	100.0	50.0	3.00	58.9	0.50	25.0	2.00	0.0	1078	0.50	50.0	31.1	2210	2.5	1.07	1.26
Team Singularity	S12	EUW	5	0.0%	0.52	1640	-349	34:39	10.8	20.6	3.0	10.2	20.0	20.0	1.60	30.5	0.80	40.0	0.60	-0.8	-2286	0.40	10.0	30.5	1998	3.0	0.95	1.22
Team Vitality	S12	EUW	5	40.0%	0.98	1843	89	32:14	12.4	12.6	5.4	6.2	20.0	60.0	2.40	54.7	0.80	40.0	1.40	0.2	1440	0.40	40.0	34.6	2012	3.1	1.22	1.43
Team WE	S12	CN	14	35.7%	0.78	1733	-125	29:36	10.1	13.0	4.9	6.9	50.0	35.7	2.00	46.5	-	-	-	-	-	0.57	39.3	31.7	1743	-	-	-
Tony Parker Adequat Academy	S12	FR	3	66.7%	1.30	1761	20	38:39	21.7	16.7	7.0	6.0	33.3	33.3	3.00	55.6	1.00	50.0	1.00	-1.0	-817	0.67	50.0	28.1	2739	3.4	1.50	1.59
Top Esports	S12	CN	26	65.4%	1.35	1903	157	32:17	16.0	11.8	7.8	4.8	73.1	61.5	2.50	58.5	-	-	-	-	-	0.96	65.4	32.9	2119	-	-	-
TSM	S12	NA	4	25.0%	0.53	1631	-281	33:30	7.8	14.8	4.0	8.3	50.0	50.0	1.25	20.5	1.00	50.0	0.50	-0.5	-1823	0.75	25.0	32.8	1713	3.5	1.46	1.28
TSM Academy	S12	NA	4	50.0%	1.20	1853	42	31:59	16.5	13.8	5.3	6.5	50.0	75.0	2.00	46.7	1.75	87.5	0.75	0.5	1887	0.50	50.0	32.8	2083	3.5	1.56	1.29
TT	S12	CN	15	13.3%	0.66	1643	-275	29:55	9.1	13.9	3.2	8.6	60.0	13.3	1.47	34.9	-	-	-	-	-	0.07	6.7	31.3	1616	-	-	-
UCAM Tokiers	S12	ES	5	0.0%	0.51	1563	-357	33:23	6.8	13.4	2.2	10.2	40.0	20.0	1.40	31.0	1.00	50.0	0.60	0.0	-1444	0.00	0.0	31.6	1662	3.5	1.42	1.48
Ultra Prime	S12	CN	18	44.4%	0.98	1822	-6	30:58	13.8	14.0	5.5	6.0	66.7	33.3	1.78	43.2	-	-	-	-	-	0.56	47.1	32.9	2013	-	-	-
Unicorns Of Love Sexy Edition	S12	DE	5	60.0%	1.35	1824	143	30:33	15.4	11.4	7.2	4.8	40.0	40.0	2.60	57.0	1.20	60.0	1.00	-0.6	-246	0.80	70.0	31.3	2349	2.9	1.26	1.19
Valiance	S12	RS	3	33.3%	0.38	1613	-231	34:16	7.3	19.3	4.7	7.7	33.3	66.7	1.33	19.0	0.33	16.7	0.00	-0.3	-2989	0.33	16.7	30.6	1852	2.8	0.99	1.18
Vanir	S12	EUW	5	60.0%	0.93	1769	-8	34:56	14.0	15.0	5.4	6.6	100.0	60.0	2.40	42.2	1.20	60.0	1.00	0.0	556	0.80	37.5	31.5	2062	3.0	1.26	1.39
Victory Five	S12	CN	13	69.2%	1.44	1910	167	32:11	16.5	11.5	7.8	5.1	38.5	53.8	2.46	51.9	-	-	-	-	-	0.77	58.3	32.6	2076	-	-	-
Vitality.Bee	S12	FR	4	100.0%	1.38	1934	232	33:22	15.5	11.3	10.3	3.0	50.0	75.0	3.50	72.5	0.75	37.5	1.25	0.8	1380	1.25	75.0	33.4	2029	3.7	1.48	1.21
Wahaha Gaming	S12	CN	4	0.0%	0.67	1685	-314	33:56	12.8	19.0	3.8	10.5	75.0	25.0	1.25	25.0	-	-	-	-	-	0.50	25.0	30.8	1669	-	-	-
WanZhen Esports Club	S12	CN	4	25.0%	0.55	1439	-257	40:14	8.0	14.5	4.0	8.5	25.0	-	1.50	26.7	-	-	-	-	-	0.25	25.0	28.5	1236	-	-	-
WAVE Esports	S12	DE	5	0.0%	0.38	1591	-368	29:54	6.0	15.4	3.0	9.4	40.0	-	0.80	20.0	0.60	30.0	0.40	-0.4	-1810	0.00	0.0	31.9	1570	3.0	1.05	1.21
Weibo Gaming	S12	CN	14	64.3%	1.03	1845	151	32:38	11.6	11.3	7.3	4.4	42.9	50.0	1.93	44.6	-	-	-	-	-	1.00	73.8	34.0	2053	-	-	-
Weibo Youth	S12	KR	7	57.1%	1.47	1851	144	28:43	16.1	11.0	6.4	5.4	28.6	42.9	2.57	68.3	1.14	57.1	1.29	-0.1	801	0.71	58.3	31.2	1799	3.0	1.23	1.52
West Point PH	S12	KR	2	0.0%	0.23	1525	-696	24:16	6.5	28.0	0.0	11.0	-	-	0.50	16.7	0.50	25.0	0.50	-2.0	-6345	0.00	0.0	29.4	1832	2.6	0.93	0.86
White Dragons	S12	PT	3	100.0%	3.00	1940	438	30:30	18.0	6.0	9.7	1.3	66.7	100.0	3.00	68.3	1.00	66.7	1.33	0.3	2001	1.67	100.0	32.2	1790	2.6	1.11	1.35
WLGaming Esports	S12	GR	2	100.0%	1.50	1832	184	35:06	19.5	13.0	8.0	3.5	-	50.0	2.50	54.2	1.00	50.0	1.50	0.0	518	1.00	100.0	30.3	2237	3.2	1.29	1.02
X7 Esports	S12	EUW	5	100.0%	1.88	1993	385	31:54	19.6	10.4	9.2	1.6	100.0	60.0	2.60	58.0	1.40	70.0	0.60	1.0	2569	1.20	90.0	33.0	2236	2.8	1.08	1.42
Zero Tenacity	S12	PL	4	75.0%	1.71	1821	188	28:43	12.0	7.0	7.8	4.0	50.0	50.0	3.25	75.4	0.25	12.5	1.50	-0.3	-308	0.75	75.0	33.2	1952	2.9	1.08	1.15
Zerolag Esports	S12	GR	2	0.0%	0.39	1643	-313	31:42	9.0	23.0	1.0	9.0	-	-	0.50	10.0	0.00	0.0	0.00	-2.0	-4839	1.00	50.0	29.7	1718	3.2	1.47	0.90
