,name,season,region,games,win rate,k:d,gold per min,gold diff per min,game duration,kill per game,deaths per game,towers killed,towers lost,first blood rate,first tower rate,dragons per game,dragons %,heralds per game,herald %,avg dragons 15min,tower diff 15min,gold diff 15min,nashor per game,nashor %,cs per min,dmg per min,wards per min,vision wards per min,wards cleared per min
101,For The Win Esports,S11,PT,63,57.1%,1.11,1800,77,32:09,15.7,14.1,6.7,5.5,46.0,58.7,2.35,49.8,1.14,58.7,0.84,0.2,508,0.84,61.0,30.4,2026,3.0,1.19,1.29
102,Fredit BRION,S11,KR,89,37.1%,0.87,1708,-110,33:03,9.8,11.2,4.5,6.9,48.3,29.2,2.36,49.6,0.69,34.8,1.00,-0.4,-928,0.54,39.4,33.7,1690,4.0,1.62,1.95
103,Funplus Phoenix,S11,CN,118,65.3%,1.16,1906,133,30:01,15.5,13.3,7.1,4.5,48.3,62.7,2.31,55.7,0.70,61.0,0.68,0.3,943,0.74,62.5,33.8,2110,3.3,1.35,1.46
104,FURIA Academy,S11,BR,52,63.5%,1.18,1799,101,32:13,14.2,12.0,6.7,5.5,51.9,57.7,2.23,47.5,1.12,55.8,0.67,0.3,968,0.71,55.6,32.2,1884,3.3,1.47,1.43
105,FURIA Esports,S11,BR,36,25.0%,0.63,1695,-187,31:46,11.3,17.7,4.8,7.9,30.6,47.2,1.47,33.9,1.03,51.4,0.64,-0.1,-961,0.50,31.9,31.2,1934,3.3,1.36,1.30
106,Furious Gaming,S11,LAT,49,57.1%,1.01,1738,5,33:50,13.9,13.9,6.4,5.6,53.1,49.0,2.59,54.9,0.92,46.9,0.92,0.0,-503,0.67,50.3,31.5,1872,3.7,1.47,1.57
107,G2 Arctic,S11,ES,58,60.3%,1.06,1819,102,32:50,14.5,13.6,7.4,5.0,43.1,74.1,2.26,52.1,1.40,69.8,0.72,0.6,994,0.95,63.7,32.1,2017,3.5,1.54,1.44
108,G2 Esports,S11,EUW,58,58.6%,1.11,1831,56,32:48,15.2,13.7,6.8,5.4,37.9,41.4,2.72,59.4,0.74,42.2,0.90,-0.1,-87,0.72,54.9,33.6,2018,3.8,1.37,1.53
109,Gaia Esports,S11,IT,20,45.0%,0.89,1780,-21,31:14,16.3,18.4,6.1,5.5,50.0,60.0,2.10,45.8,0.90,50.0,0.95,0.4,277,0.70,47.5,29.7,1990,2.8,1.22,1.29
110,Galakticos,S11,TR,44,45.5%,0.89,1766,-19,31:43,13.9,15.6,5.5,6.2,47.7,40.9,2.23,48.4,0.93,48.8,0.74,-0.1,-288,0.59,39.6,31.5,1819,3.0,1.43,1.35
